Message,Type
why there is no power supply in my street,Inquiry
In our are we dont have power,Inquiry
we dont have power in our area,Inquiry
we dont have  electricity  In our area,Inquiry
in our area we dont have electricity,Inquiry
we dont have current in our area,Inquiry
in our area we dont have current,Inquiry
There is no power supply in our area,Inquiry
No power supply in our area,Inquiry
our area dont have power,Inquiry
our area dont have power supply,Inquiry
our area dont have electricty,Inquiry
In our are we didnt have power,Inquiry
we didnt have power in our area,Inquiry
we didnt have  electricity  In our area,Inquiry
in our area we didnt have electricity,Inquiry
we didnt have current in our area,Inquiry
in our area we didnt have current,Inquiry
our area didnt have power,Inquiry
our area didnt have power supply,Inquiry
our area didnt have electricty,Inquiry
No electricity in our area,Inquiry
we lost power supply,Inquiry
power loss is happened in our area,Inquiry
there is no current supply,Inquiry
electricity is stopped in my area,Inquiry
power supply is cut down im my area,Inquiry
there is power shutdown for a while in my area,Inquiry
there is power cut due to heavy storm in my area,Inquiry
The power supply  is stopped in my area,Inquiry
We are suffering from lack of power supply in our area,Inquiry
When will current come back,Inquiry
There is power shortage in my area,Inquiry
When do we expect the power back,Inquiry
When will the power supply resume,Inquiry
our street people are struggling due to the power loss for about 6 hours,Inquiry
in my area tree fallen in power line,Inquiry
voltage fluctuation in our area power supply,Query
voltage drops happen iin our area power supply,Query
we have low power supply due to low voltage,Query
voltage drop occurs in our area,Query
The voltage fluctuation is happened in my area,Query
we are strugling due to voltage drop in our area,Query
there is  voltage drop  in our street power line,Query
Voltage fluctuation ocuurs oftenly in our street,Query
We are facing low voltage problem,Query
We don't have proper voltage supply in our area,Query
There is continous voltage fluctuation in my area,Query
Voltage drop in my area,Query
Voltage fluctuation occurs continously in my area,Query
There is heavy voltage drop in our area,Query
In our street  voltage drops occurs often,Query
Voltage drop occurs in my street ,Query
voltage fluctuation in my area,Query
We are facing recently electric accident due to heavy voltage,Query
There is a drop in voltage in my area,Query
We area facing voltage fluctuation problem in my area,Query
can you tell the reason for voltage drop,Query
There is transformer burst near my house,Inform
In my area heavy load vehicle cuts the power line,Inform
The tree fallen in power line near my house,Inform
power line cuts due to heavy rain,Inform
The transformer is bursted due to heavy lightning,Inform
Tree fallen in power line cause the power cut in my street,Inform
Tree near my house has fallen in power line,Inform
We lacking power supply for about 12 hours due to transformer burst,Inform
Transformer burst due to heavy load. That interrupted the power supply in my area,Inform
Trees fall on the power line which interrupt the power supply in my area,Inform
Power line cuts due to heavy rain,Inform
Vehicle cut the power line by accident. So we don't have power supply,Inform
"power line is on fire	Inform
",Inform
power transmission tower fall down,Inform
electricity is leaking in the nearby power line,Inform
"In my area, the power line is fallen down due to heavy storm",Inform
"In our area ,The transformer bursts due to heavy voltage passing",Inform
We have insufficient power supply due to low voltage occurs in my area,Inform
Heavy rain cuts the power line in my area,Inform
Heavy storm cuts the power line in my area,Inform
electric post fall down,Inform
Heavy load vehicle cut the power line by accident,Inform
The power supply is interrupted because of the power line collpase in my area,Inform
Emergency situation. stop the power supply in my area,Request
Fire accident in my neighborhood. Stop the power supply,Request
"Due to heavy rain, power line fell in the roads. So please stop the power supply",Request
Storms causing power line to cut down on the roads. Please stop the power supply,Request
"There is power line cuts due heavy rain and flood , please cut the power ",Request
Our street is flooded with rain water. Stop electricity supply to our street,Request
"Fire accident due gas explosion near my house , cut the power supply to my street",Request
"Heavy rain and storm cuts the power line in my neighborhood, cut down the power supply",Request
"A fire accident is happened near my street , so shutdown the power supply",Request
"there is an accident due to short-circuit in my area , stop power supply",Request
"Transformer Burst causes the fire accident in my street , so stop the power supply  ",Request
"Fire accident is occurent in near my street due to heavy voltage ,  cut down the power supply ",Request
"Stop the current in my area immeadiately , since there  is fire accident ",Request
"Cut down the power supply in my area, since there is fire accident occured my street",Request
"A fire accident is occured in my area , pls shutdown the power supply ",Request
"stop the power supply near my area , since fire accident is happened",Request
"Shutdown the electrcity supply to my area , since fire accident is occured in my area ",Request
Stop the current in my area because a fire accident is happened,Request
Cut the power supply because fire accident occured,Request
"You have to stop the power supply  ,since there is fire accident",Request
"A fire accident in my near street, cut down power supply",Request
"Due to heavy storm and thunder, there is fire accident in my area so stop the power supply",Request
"Please stop the power supply ,since there is heavy flood in my street",Request
"Due to heavy rain and storm power line wire is cut down , so shutdown the power suppply ",Request
"Rainy water is flooded in houses in my area, so stop the power supply",Request
"Houses in our street is flooded with water due to rain , shutdown the current",Request
"Rain water is passing through the houses in my street , cut down the current",Request
"There is heavy storm and thunder , please stop the power supply in order to avoid damage to electric appliances",Request
"Stop the power supply in order to avoid damage to elecrtric appliances, since there is heavy storm and thunder in my area",Request
